trip_id,stop_sequence,stop_name,stop_time
39,2,Vinhomes Ocean Park,12:40
39,3,Hong Ha,13:05
39,4,Au Co,13:20
39,5,Ho Tay Water Park,13:30
40,1,BUV Campus,13:30
40,2,Vinhomes Ocean Park,13:40
40,3,Hong Ha,14:05
40,4,Au Co,14:20
40,5,Ho Tay Water Park,14:30
41,1,BUV Campus,15:15
41,2,Vinhomes Ocean Park,15:25
41,3,Hong Ha,15:50
41,4,Au Co,16:05
41,5,Ho Tay Water Park,16:15
42,1,BUV Campus,17:35
42,2,Vinhomes Ocean Park,17:45
42,3,Hong Ha,18:10
42,4,Au Co,18:25
42,5,Ho Tay Water Park,18:35
43,1,BUV Campus,18:15
43,2,Vinhomes Ocean Park,18:25
43,3,Hong Ha,18:50
43,4,Au Co,19:05
43,5,Ho Tay Water Park,19:15
44,1,BUV Campus,11:30
44,2,Linh Nam,11:50
44,3,Muong Thanh Grand Hotel,12:00
44,4,473 Nguyen Trai,12:10
44,5,Ho Guom Plaza,12:20
45,1,BUV Campus,12:30
45,2,Linh Nam,12:50
45,3,Muong Thanh Grand Hotel,13:00
45,4,473 Nguyen Trai,13:10
45,5,Ho Guom Plaza,13:20
46,1,BUV Campus,13:30
46,2,Linh Nam,13:50
46,3,Muong Thanh Grand Hotel,14:00
46,4,473 Nguyen Trai,14:10
46,5,Ho Guom Plaza,14:20
47,1,BUV Campus,15:15
47,2,Linh Nam,15:35
47,3,Muong Thanh Grand Hotel,15:45
47,4,473 Nguyen Trai,15:55
47,5,Ho Guom Plaza,16:05
48,1,BUV Campus,17:35
48,2,Linh Nam,17:55
48,3,Muong Thanh Grand Hotel,18:05
48,4,473 Nguyen Trai,18:15
48,5,Ho Guom Plaza,18:25
49,1,BUV Campus,18:15
49,2,Linh Nam,18:35
49,3,Muong Thanh Grand Hotel,18:45
49,4,473 Nguyen Trai,18:55
49,5,Ho Guom Plaza,19:05
50,1,BUV Campus,11:30
50,2,Sky Oasis,11:33
50,3,Sol Forest,11:33
50,4,Landmark,11:35
50,5,Swanlake,11:35
50,6,Westbay – B Building,11:36
50,7,Westbay – C Building,11:36
50,8,Aquabay - Sky 2 Building,11:42
50,9,Aquabay – Park 1 - Building,11:42
50,10,Rung Co - E2 Building,11:45
51,1,BUV Campus,12:30
51,2,Sky Oasis,12:33
51,3,Sol Forest,12:33
51,4,Landmark,12:35
51,5,Swanlake,12:35
51,6,Westbay – B Building,12:36
51,7,Westbay – C Building,12:36
51,8,Aquabay - Sky 2 Building,12:42
51,9,Aquabay – Park 1 - Building,12:42
51,10,Rung Co - E2 Building,12:45
52,1,BUV Campus,13:30
52,2,Sky Oasis,13:33
52,3,Sol Forest,13:33
52,4,Landmark,13:35
52,5,Swanlake,13:35
52,6,Westbay – B Building,13:36
52,7,Westbay – C Building,13:36
52,8,Aquabay - Sky 2 Building,13:42
52,9,Aquabay – Park 1 - Building,13:42
52,10,Rung Co - E2 Building,13:45
53,1,BUV Campus,15:15
53,2,Sky Oasis,15:18
53,3,Sol Forest,15:18
53,4,Landmark,15:20
53,5,Swanlake,15:20
53,6,Westbay – B Building,15:21
53,7,Westbay – C Building,15:21
53,8,Aquabay - Sky 2 Building,15:27
53,9,Aquabay – Park 1 - Building,15:27
53,10,Rung Co - E2 Building,15:30
54,1,BUV Campus,17:35
54,2,Sky Oasis,17:38
54,3,Sol Forest,17:38
54,4,Landmark,17:40
54,5,Swanlake,17:40
54,6,Westbay – B Building,17:41
54,7,Westbay – C Building,17:41
54,8,Aquabay - Sky 2 Building,17:47
54,9,Aquabay – Park 1 - Building,17:47
54,10,Rung Co - E2 Building,17:50
55,1,BUV Campus,18:15
55,2,Sky Oasis,18:18
55,3,Sol Forest,18:18
55,4,Landmark,18:20
55,5,Swanlake,18:20
55,6,Westbay – B Building,18:21
55,7,Westbay – C Building,18:21
55,8,Aquabay - Sky 2 Building,18:27
55,9,Aquabay – Park 1 - Building,18:27
55,10,Rung Co - E2 Building,18:30
